408,372,334
379,398,393
312,320,332
299,303,309
290,294,299
289,293,297
294,299,300
298,304,303
319,325,317
334,342,330
371,387,371
376,394,382
360,378,376
343,359,362
296,302,311
292,297,301
287,292,295
287,292,295
297,302,301
303,310,308
343,353,339
366,380,364
375,395,385
372,393,389
307,318,331
293,298,304
285,289,293
287,291,294
300,305,304
308,315,312
361,375,359
379,397,381
373,395,393
342,359,367
285,288,296
282,286,292
350,359,340
395,419,405
345,365,375
313,325,337
362,383,383
290,295,307
285,289,295
278,281,286
276,279,283
295,301,299
303,308,306
352,363,347
364,378,363
378,398,388
374,393,386
329,343,351
327,341,347
294,299,306
293,299,305
288,293,298
289,295,299
286,291,294
286,291,295
290,295,297
288,293,295
296,302,301
296,302,301
311,317,312
315,322,315
359,373,358
368,383,369
358,377,373
338,356,357
288,294,299
281,288,291
282,289,289
283,291,290
301,309,303
317,325,318
367,386,372
367,385,377
320,333,340
298,307,317
311,324,330
295,302,307
286,291,295
283,289,291
293,299,298
301,308,305
338,346,332
355,367,352
354,370,362
349,363,357
322,334,336
311,322,325
298,305,307
295,302,304
293,300,301
273,280,282
261,270,269
257,267,262
421,411,387
351,357,348
408,372,334
379,398,393
312,320,332
299,303,309
290,294,299
289,293,297
294,299,300
298,304,303
319,325,317
334,342,330
371,387,371
376,394,382
360,378,376
343,359,362
296,302,311
292,297,301
287,292,295
287,292,295
297,302,301
303,310,308
343,353,339
366,380,364
375,395,385
372,393,389
307,318,331
293,298,304
285,289,293
287,291,294
300,305,304
308,315,312
361,375,359
379,397,381
373,395,393
342,359,367
285,288,296
282,286,292
350,359,340
395,419,405
345,365,375
313,325,337
362,383,383
290,295,307
285,289,295
278,281,286
276,279,283
295,301,299
303,308,306
352,363,347
364,378,363
378,398,388
374,393,386
329,343,351
327,341,347
294,299,306
293,299,305
288,293,298
289,295,299
286,291,294
286,291,295
290,295,297
288,293,295
296,302,301
296,302,301
311,317,312
315,322,315
359,373,358
368,383,369
358,377,373
338,356,357
288,294,299
281,288,291
282,289,289
283,291,290
301,309,303
317,325,318
367,386,372
367,385,377
320,333,340
298,307,317
311,324,330
295,302,307
286,291,295
283,289,291
293,299,298
301,308,305
338,346,332
355,367,352
354,370,362
349,363,357
322,334,336
311,322,325
298,305,307
295,302,304
293,300,301
273,280,282
261,270,269
257,267,262
421,411,387
351,357,348
